accuracy : 0.44430538172715894, precision : 0.43971146333296124, recall : 0.44430538172715894, F1-score : 0.4419514600312925
accuracy : 0.7421777221526908, precision : 0.7679735706755598, recall : 0.7421777221526908, F1-score : 0.7465534105440654
accuracy : 0.6295369211514393, precision : 0.6599662377631182, recall : 0.6295369211514393, F1-score : 0.6353739850712786
accuracy : 0.6107634543178974, precision : 0.6608933558901872, recall : 0.6107634543178974, F1-score : 0.6195501042975705
accuracy : 0.6658322903629537, precision : 0.710315033918989, recall : 0.6658322903629537, F1-score : 0.6729339431070321
accuracy : 0.6433041301627034, precision : 0.6897420981053747, recall : 0.6433041301627034, F1-score : 0.6514477854777128
accuracy : 0.6357947434292867, precision : 0.6809848699711027, recall : 0.6357947434292867, F1-score : 0.6412197146160598
accuracy : 0.7296620775969962, precision : 0.7375236207109381, recall : 0.7296620775969962, F1-score : 0.7055658653776992
accuracy : 0.7596996245306633, precision : 0.7608268209627642, recall : 0.7596996245306633, F1-score : 0.7392122356375561
accuracy : 0.7246558197747184, precision : 0.730557977354479, recall : 0.7246558197747184, F1-score : 0.6999036354128106
accuracy : 0.7384230287859824, precision : 0.7419276678168983, recall : 0.7384230287859824, F1-score : 0.71220380885997
accuracy : 0.7672090112640801, precision : 0.7749911066285348, recall : 0.7672090112640801, F1-score : 0.7451330098400618
accuracy : 0.8035043804755945, precision : 0.8015095359785506, recall : 0.8035043804755945, F1-score : 0.7985782649083819
accuracy : 0.8322903629536921, precision : 0.8296706380231347, recall : 0.8322903629536921, F1-score : 0.8298445974134335
accuracy : 0.804755944931164, precision : 0.803316016694434, recall : 0.804755944931164, F1-score : 0.8016495362353626
accuracy : 0.8072590738423029, precision : 0.8074935843992908, recall : 0.8072590738423029, F1-score : 0.80155978907074
accuracy : 0.7984981226533167, precision : 0.7959114979671162, recall : 0.7984981226533167, F1-score : 0.7922782220552629
accuracy : 0.8110137672090113, precision : 0.8487684076517946, recall : 0.8110137672090113, F1-score : 0.8154501367488189
accuracy : 0.83729662077597, precision : 0.8667125973644909, recall : 0.83729662077597, F1-score : 0.839962357724555
accuracy : 0.8110137672090113, precision : 0.8507821642033351, recall : 0.8110137672090113, F1-score : 0.8141170583498897
accuracy : 0.8310387984981227, precision : 0.8627306998015599, recall : 0.8310387984981227, F1-score : 0.8336425602053507
accuracy : 0.8085106382978723, precision : 0.8485211505290132, recall : 0.8085106382978723, F1-score : 0.8117986228586405
accuracy : 0.9111389236545682, precision : 0.9114832384396508, recall : 0.9111389236545682, F1-score : 0.9101672093592161
accuracy : 0.9098873591989988, precision : 0.9096683095818576, recall : 0.9098873591989988, F1-score : 0.9092793327299261
accuracy : 0.9299123904881101, precision : 0.9305215692247525, recall : 0.9299123904881101, F1-score : 0.9293082277113549
accuracy : 0.9148936170212766, precision : 0.9146053357971768, recall : 0.9148936170212766, F1-score : 0.9146517170171209
accuracy : 0.9123904881101377, precision : 0.912558163815301, recall : 0.9123904881101377, F1-score : 0.911577198975921
accuracy : 0.9249061326658323, precision : 0.9244843431740657, recall : 0.9249061326658323, F1-score : 0.9245323780456982
accuracy : 0.9148936170212766, precision : 0.9146072002021901, recall : 0.9148936170212766, F1-score : 0.91459780706217
accuracy : 0.9224030037546934, precision : 0.9220495198217824, recall : 0.9224030037546934, F1-score : 0.9220677911928425
accuracy : 0.9086357947434293, precision : 0.908278471885618, recall : 0.9086357947434293, F1-score : 0.9083819779334339
accuracy : 0.904881101376721, precision : 0.9045879500490395, recall : 0.904881101376721, F1-score : 0.9042392956593667
accuracy : 0.918648310387985, precision : 0.9211030231109, recall : 0.918648310387985, F1-score : 0.919319294681565
accuracy : 0.904881101376721, precision : 0.9047736604567511, recall : 0.904881101376721, F1-score : 0.9048214429449168
accuracy : 0.9198998748435544, precision : 0.9206964104160298, recall : 0.9198998748435544, F1-score : 0.9201481003835367
accuracy : 0.9123904881101377, precision : 0.9126989915963487, recall : 0.9123904881101377, F1-score : 0.9125204690267685
accuracy : 0.9173967459324155, precision : 0.9173967459324155, recall : 0.9173967459324155, F1-score : 0.9173967459324155
